keep_id,merge_and_discard_id
261,1495
100,1805
7,421
9,1138
10,1528
11,566
371,1055
181,1011
401,1110
17,910
368,638
20,670
98,468
24,524
87,1679
99,1250
236,567
238,1655
137,623
239,958
240,597
28,1267
31,899
33,935
110,1720
242,1169
37,964
308,470
39,1298
243,942
43,757
117,868
245,748
170,980
324,1777
45,484
46,902
47,714
49,491
50,1809
203,1793
255,1648
80,515
81,857
136,1371
208,852
394,1807
248,498
61,692
249,763
251,1442
348,703
392,494
354,797
351,1736
352,1644
353,915
253,1069
252,1653
395,1748
256,1658
135,1588
257,1649
400,830
258,579
68,578
397,1659
259,770
129,855
75,511
260,672
393,1756
146,1073
